,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
636,3 Beds, $815000,2 Baths,"MLS® ML81886040
","1,000 ft","27711 Havana AVE, HAYWARD, CA 94544Sold"
637,2 Beds, $580000,2 Baths,"MLS® ML81897925
","1,041 ft","21117 Gary DR 221, HAYWARD, CA 94546Sold"
638,3 Beds, $900000,2 Baths,"MLS® ML81901952
","1,228 ft","32167 Bernice WAY, HAYWARD, CA 94544Sold"
639,3 Beds, $815000,1 Bath,"MLS® ML81902095
","1,050 ft","28481 Pacific ST, HAYWARD, CA 94544Sold"
640,3 Beds, $785000,1 Bath,"MLS® ML81902936
","1,032 ft","339 Annette LN, HAYWARD, CA 94541Sold"
641,81 Bed, $37114,1 Bath,"MLS® ML81871858
",429 ft,"406 Rhythm LN, HAYWARD, CA 94544Sold"
642,2 Beds, $550000,1 Bath,"MLS® ML81898287 
","1,215 ft","29993 Vanderbilt ST, HAYWARD, CA 94544Sold"
643,81 Bed, $40888,1 Bath,"MLS® ML81892220
",643 ft,"705 Canonbury WAY 284, HAYWARD, CA 94544Sold"
644,2 Beds, $467000,1 Bath,"MLS® ML81893292
",977 ft,"1002 Cheryl Ann CIR 46, HAYWARD, CA 94544Sold"
645,4 Beds, $910000,4 Baths,"MLS® ML81897412
","1,716 ft","221 Burbank ST, HAYWARD, CA 94541Sold"
646,01 Bed, $44000,1 Bath,"MLS® ML81899343
",643 ft,"677 Dartmore LN 347, HAYWARD, CA 94544Sold"
647,3 Beds, $885000,2 Baths,"MLS® ML81898599
","1,265 ft","24020 Alice ST, HAYWARD, CA 94541Sold"
648,3 Beds, $800000,2 Baths,"MLS® ML81899066
","1,414 ft","1366 Inglewood ST, HAYWARD, CA 94544Sold"
649,81 Bed, $37114,1 Bath,"MLS® ML81873124
",429 ft,"400 Arc CT, HAYWARD, CA 94544Sold"
650,4 Beds, $975000,2.5 Baths,"MLS® ML81896337
","1,711 ft","28486 Triton ST, HAYWARD, CA 94544Sold"
651,3 Beds, $910000,3 Baths,"MLS® ML81888475
","1,654 ft","30588 Treeview ST, HAYWARD, CA 94544Sold"
652,2 Beds, $730000,1 Bath,"MLS® ML81897108
","1,000 ft","22816 Arnold CT, HAYWARD, CA 94541Sold"
653,2 Beds, $825000,2 Baths,"MLS® ML81875535
","1,286 ft","342 Trace LN, HAYWARD, CA 94544Sold"
654,2 Beds, $804345,2 Baths,"MLS® ML81870937
","1,286 ft","396 Trace LN, HAYWARD, CA 94544Sold"
655,3 Beds, $785000,3 Baths,"MLS® ML81894200
","1,333 ft","22861 Kingsford WAY, HAYWARD, CA 94541Sold"
656,3 Beds, $960000,2 Baths,"MLS® ML81891347
","1,161 ft","106 Fairway ST, HAYWARD, CA 94544Sold"
657,2 Beds, $868500,1 Bath,"MLS® ML81895107
","1,222 ft","1171 Cotter WAY, HAYWARD, CA 94541Sold"
658,81 Bed, $37114,1 Bath,"MLS® ML81880155
",429 ft,"432 Arc CT, HAYWARD, CA 94544Sold"
659,3 Beds, $900000,2 Baths,"MLS® ML81889338
","1,154 ft","29566 Chance ST, HAYWARD, CA 94544Sold"
660,2 Beds, $520000,2 Baths,"MLS® ML81891027
","1,007 ft","1280 Stanhope 145, HAYWARD, CA 94545Sold"
661,2 Beds, $235000,2 Baths,"MLS® ML81889062
","1,248 ft","29493 Middleborough Way 181, HAYWARD, CA 94544Sold"
662,2 Beds, $870000,1 Bath,"MLS® ML81891948
","1,007 ft","22585 Arlette AVE, HAYWARD, CA 94541Sold"
663,3 Beds, $998000,3.5 Baths,"MLS® ML81891715
","1,915 ft","311 Moorpark PL, HAYWARD, CA 94541Sold"
664,2 Beds, $600000,1.5 Baths,"MLS® ML81892300
",988 ft,"2500 W Tennyson RD, HAYWARD, CA 94545Sold"
665,3 Beds, $890000,2 Baths,"MLS® ML81891873
","1,215 ft","26797 Lauderdale AVE, HAYWARD, CA 94545Sold"
666,3 Beds, $820000,1 Bath,"MLS® ML81891642
","1,018 ft","22808 5th ST, HAYWARD, CA 94541Sold"
667,2 Beds, $775000,2.5 Baths,"MLS® ML81890900
","1,520 ft","65 Fernridge CT, HAYWARD, CA 94544Sold"
668,3 Beds, $821000,2 Baths,"MLS® ML81888411
","1,475 ft","24609 Diamond Ridge DR, HAYWARD, CA 94544Sold"
669,3 Beds, $550000,1 Bath,"MLS® ML81885427
","1,128 ft","22174 Western BLVD, HAYWARD, CA 94541Sold"
670,3 Beds, $850000,1 Bath,"MLS® ML81890572
","1,000 ft","24678 Joyce ST, HAYWARD, CA 94544Sold"
671,3 Beds, $850888,2.5 Baths,"MLS® ML81891912
","1,620 ft","24715 Echo Springs DR, HAYWARD, CA 94541Sold"
672,2 Beds, $810000,2.5 Baths,"MLS® ML81887896 
","1,445 ft","25265 Parklane DR, HAYWARD, CA 94544Sold"
673,2 Beds, $595000,2 Baths,"MLS® ML81889369
","1,089 ft","21095 Gary DR 107, HAYWARD, CA 94546Sold"
674,2 Beds, $510000,2 Baths,"MLS® ML81884964
","1,060 ft","1003 Cheryl Ann CIR 55, HAYWARD, CA 94544Sold"
675,2 Beds, $695000,1 Bath,"MLS® ML81889323
",899 ft,"950 Hotel AVE, HAYWARD, CA 94541Sold"
676,3 Beds, $820000,2 Baths,"MLS® ML81887433
","1,519 ft","28987 Ruus RD, HAYWARD, CA 94544Sold"
677,3 Beds, $760000,2 Baths,"MLS® ML81869475
","1,000 ft","27774 Orlando AVE, HAYWARD, CA 94545Sold"
678,2 Beds, $625000,2 Baths,"MLS® ML81888352
",958 ft,"25037 Copa Del Oro DR 204, HAYWARD, CA 94545Sold"
679,3 Beds, $880000,2 Baths,"MLS® ML81885064
","1,000 ft","27673 Seminole WAY, HAYWARD, CA 94544Sold"
680,3 Beds, $720000,1.5 Baths,"MLS® ML81887502
","1,254 ft","27492 Ponderosa CT, HAYWARD, CA 94545Sold"
681,2 Beds, $833000,2.5 Baths,"MLS® ML81875150
","1,272 ft","550 Staley AVE, HAYWARD, CA 94541Sold"
682,6 Beds, $760000,2 Baths,"MLS® ML81884178
","1,302 ft","441 Barlett AVE, HAYWARD, CA 94541Sold"
683,2 Beds, $820000,2 Baths,"MLS® ML81870936
","1,501 ft","456 Trace LN, HAYWARD, CA 94544Sold"
684,2 Beds, $665000,2 Baths,"MLS® ML81885337
","1,202 ft","22135 Sevilla RD 37, HAYWARD, CA 94541Sold"
685,3 Beds, $920000,2.5 Baths,"MLS® ML81883712
","1,726 ft","323 Williams WAY, HAYWARD, CA 94541Sold"
686,2 Beds, $299000,2 Baths,"MLS® ML81877297
","1,260 ft","1200 W Winton AVE 118, HAYWARD, CA 94545Sold"
687,3 Beds, $850000,1.5 Baths,"MLS® ML81879571
","1,046 ft","26394 Underwood AVE, HAYWARD, CA 94544Sold"
688,4 Beds, $977000,4 Baths,"MLS® ML81881125
","1,860 ft","165 Burbank ST, HAYWARD, CA 94541Sold"
689,3 Beds, $865000,1 Bath,"MLS® ML81882719
","1,081 ft","759 Bishop AVE, HAYWARD, CA 94544Sold"
690,01 Bed, $36500,1 Bath,"MLS® ML81880740
",686 ft,"260 Industrial PKWY 18, HAYWARD, CA 94544Sold"
691,3 Beds, $900000,2.5 Baths,"MLS® ML81876873
","1,823 ft","26587 Mission Blvd, HAYWARD, CA 94544Sold"
692,2 Beds, $620000,2 Baths,"MLS® ML81880461
","1,250 ft","25676 University CT 211, HAYWARD, CA 94542Sold"
693,4 Beds, $980000,4 Baths,"MLS® ML81878530
","1,716 ft","610 Santina DR, HAYWARD, CA 94541Sold"
694,2 Beds, $530000,2 Baths,"MLS® ML81877023
","1,000 ft","35 Raintree CT 8, HAYWARD, CA 94544Sold"
695,4 Beds, $900000,1.5 Baths,"MLS® ML81880002
","1,317 ft","31964 Olean ST, HAYWARD, CA 94544Sold"
696,2 Beds, $884535,2 Baths,"MLS® ML81872448 
","1,501 ft","418 Trace LN, HAYWARD, CA 94544Sold"
697,2 Beds, $770000,2 Baths,"MLS® ML81849633
","1,286 ft","498 Trace LN, HAYWARD, CA 94544Sold"
698,2 Beds, $765000,2 Baths,"MLS® ML81855462
","1,286 ft","478 Trace LN, HAYWARD, CA 94544Sold"
699,3 Beds, $960000,2 Baths,"MLS® ML81878902
","1,233 ft","324 Inwood LN, HAYWARD, CA 94544Sold"
700,3 Beds, $920000,1 Bath,"MLS® ML81879657
","1,040 ft","22070 Lucia ST, HAYWARD, CA 94541Sold"
701,2 Beds, $828760,2 Baths,"MLS® ML81849441
","1,501 ft","490 Trace LN, HAYWARD, CA 94544Sold"
702,3 Beds, $888000,2 Baths,"MLS® ML81878823
","1,132 ft","28188 Ormond AVE, HAYWARD, CA 94544Sold"
703,2 Beds, $807475,2 Baths,"MLS® ML81855450
","1,501 ft","486 Trace LN, HAYWARD, CA 94544Sold"
704,3 Beds, $710500,1.5 Baths,"MLS® ML81877814
","1,254 ft","27452 Ponderosa CT, HAYWARD, CA 94545Sold"
705,3 Beds, $900101,2 Baths,"MLS® ML81878073
","1,576 ft","519 Blue Jay DR, HAYWARD, CA 94544Sold"
706,3 Beds, $965000,2 Baths,"MLS® ML81877207
","1,719 ft","27829 Bruno ST, HAYWARD, CA 94544Sold"
707,3 Beds, $820000,3.5 Baths,"MLS® ML81877112
","1,845 ft","1012 Martin Luther King DR, HAYWARD, CA 94541Sold"
708,2 Beds, $670000,2 Baths,"MLS® ML81875401
","1,130 ft","25495 Southwick DR 110, HAYWARD, CA 94544Sold"
709,3 Beds, $900000,2 Baths,"MLS® ML81877708
","1,227 ft","1329 West ST, HAYWARD, CA 94545Sold"
710,2 Beds, $523000,2 Baths,"MLS® ML81877040
","1,060 ft","926 Cheryl Ann CIR 22, HAYWARD, CA 94544Sold"
711,2 Beds, $255500,2 Baths,"MLS® ML81863855
","1,908 ft","29243 Whalebone WAY 409, HAYWARD, CA 94544Sold"
712,01 Bed, $51500,1 Bath,"MLS® ML81914534
",539 ft,"403 Main ST 208N, SAN FRANCISCO, CA 94105Sold"
713,01 Bed, $53900,1 Bath,"MLS® ML81917422
",554 ft,"121 9th ST 503, SAN FRANCISCO, CA 94103Sold"
714,2 Beds, $900000,1.5 Baths,"MLS® ML81910780
","1,326 ft","385 Haight ST, SAN FRANCISCO, CA 94102Sold"
715,01 Bed, $66000,1 Bath,"MLS® ML81914030
",696 ft,"542 Holloway AVE, SAN FRANCISCO, CA 94112Sold"
716,2 Beds, $950000,1 Bath,"MLS® ML81916198
","1,196 ft","681 Brunswick ST, SAN FRANCISCO, CA 94112Sold"
717,2 Beds, $975000,1.5 Baths,"MLS® ML81912352
","1,372 ft","387 Haight ST, SAN FRANCISCO, CA 94102Sold"
718,2 Beds, $560000,1 Bath,"MLS® ML81913715
",750 ft,"327 Arleta AVE, SAN FRANCISCO, CA 94134Sold"
719,2 Beds, $850000,1.5 Baths,"MLS® ML81902074
",950 ft,"1800 46th AVE 302, SAN FRANCISCO, CA 94122Sold"
720,3 Beds, $918000,2 Baths,"MLS® ML81898939
","2,260 ft","114 Parque DR, SAN FRANCISCO, CA 94134Sold"
721,000, $860,1 Bath,"MLS® ML81909789
",805 ft,"954 Huron AVE, SAN FRANCISCO, CA 94112Sold"
722,2 Beds, $870000,2.5 Baths,"MLS® ML81912513
","1,210 ft","18 Megan DR, SAN FRANCISCO, CA 94134Sold"
723,4 Beds, $890000,2 Baths,"MLS® ML81913309
","1,470 ft","1364 Underwood AVE, SAN FRANCISCO, CA 94124Sold"
724,2 Beds, $925000,1 Bath,"MLS® ML81914975
",977 ft,"256 Sweeny ST, SAN FRANCISCO, CA 94134Sold"
725,2 Beds, $725000,1 Bath,"MLS® ML81901195
",540 ft,"275 Edinburgh ST, SAN FRANCISCO, CA 94112Sold"
726,01 Bed, $77500,1 Bath,"MLS® ML81900324
",956 ft,"925 Corbett AVE 303, SAN FRANCISCO, CA 94131Sold"
727,4 Beds, $760000,2 Baths,"MLS® ML81911588
","1,250 ft","400 - 402 Edinburgh ST, SAN FRANCISCO, CA 94112Sold"
728,01 Bed, $50700,1 Bath,"MLS® ML81901877
",642 ft,"1155 Pine ST 6, SAN FRANCISCO, CA 94109Sold"
729,4 Beds, $968000,2 Baths,"MLS® ML81910985
","1,650 ft","122 Dublin ST, SAN FRANCISCO, CA 94112Sold"
730,01 Bed, $91500,1 Bath,"MLS® ML81906365
","1,000 ft","2542 Polk ST 2542, SAN FRANCISCO, CA 94109Sold"
731,01 Bed, $87500,1 Bath,"MLS® ML81900720
",866 ft,"300 Berry ST 822, SAN FRANCISCO, CA 94158Sold"
732,01 Bed, $77000,1 Bath,"MLS® ML81908199
",688 ft,"451 Kansas ST 551, SAN FRANCISCO, CA 94107Sold"
733,2 Beds, $950000,1 Bath,"MLS® ML81912072
","1,080 ft","240 Cotter ST, SAN FRANCISCO, CA 94112Sold"
734,01 Bed, $53750,1 Bath,"MLS® ML81912093
",450 ft,"407 Miguel ST, SAN FRANCISCO, CA 94131Sold"
735,2 Beds, $960000,1 Bath,"MLS® ML81909691
",875 ft,"3859 San Bruno AVE, SAN FRANCISCO, CA 94134Sold"
736,4 Beds, $825000,2 Baths,"MLS® ML81911523
","1,575 ft","192 Shawnee AVE, SAN FRANCISCO, CA 94112Sold"
737,2 Beds, $830000,2 Baths,"MLS® ML81907642
",850 ft,"714 London ST, SAN FRANCISCO, CA 94112Sold"
738,01 Bed, $94000,1 Bath,"MLS® ML81912901
",883 ft,"733 Front ST 404, SAN FRANCISCO, CA 94111Sold"
739,3 Beds, $570000,2 Baths,"MLS® ML81912769
","1,014 ft","615 Brussels ST, SAN FRANCISCO, CA 94134Sold"
740,01 Bed, $53650,1 Bath,"MLS® ML81884651 
",777 ft,"666 Post ST 502, SAN FRANCISCO, CA 94109Sold"
741,4 Beds, $900000,3 Baths,"MLS® ML81902782
","1,800 ft","448 Holladay AVE, SAN FRANCISCO, CA 94110Sold"
742,01 Bed, $52500,1 Bath,"MLS® ML81903115
",619 ft,"719 Larkin ST 203, SAN FRANCISCO, CA 94109Sold"
743,3 Beds, $788000,2 Baths,"MLS® ML81894676
","1,318 ft","4343 3rd ST 401, SAN FRANCISCO, CA 94124Sold"
744,2 Beds, $655000,2 Baths,"MLS® ML81891458
",971 ft,"1212 Ridge CT, SAN FRANCISCO, CA 94134Sold"
745,2 Beds, $750000,1 Bath,"MLS® ML81901810
",750 ft,"87 Cotter ST, SAN FRANCISCO, CA 94112Sold"
746,2 Beds, $865000,2.5 Baths,"MLS® ML81900666
","1,333 ft","28 Megan DR 1, SAN FRANCISCO, CA 94134Sold"
747,01 Bed, $52500,1 Bath,"MLS® ML81890297
",602 ft,"2225 23rd ST 112, SAN FRANCISCO, CA 94107Sold"
748,2 Beds, $950000,2 Baths,"MLS® ML81902135
",925 ft,"233 Ward ST, SAN FRANCISCO, CA 94134Sold"
749,000, $570,1 Bath,"MLS® ML81898341
",495 ft,"888 7th ST 132, SAN FRANCISCO, CA 94107Sold"
750,01 Bed, $78000,1 Bath,"MLS® ML81892810
",948 ft,"825 La Playa ST 328, SAN FRANCISCO, CA 94121Sold"
751,3 Beds, $800000,1 Bath,"MLS® ML81899302
",725 ft,"36 Bayview ST, SAN FRANCISCO, CA 94124Sold"
752,01 Bed, $88200,1 Bath,"MLS® ML81903354
",700 ft,"21A Delmar ST, SAN FRANCISCO, CA 94117Sold"
753,2 Beds, $670000,2 Baths,"MLS® ML81895613
","1,051 ft","89 Goethe ST 11, DALY CITY, CA 94014Sold"
754,01 Bed, $88000,1 Bath,"MLS® ML81894505
",713 ft,"2655 Bush ST 316, SAN FRANCISCO, CA 94115Sold"
755,01 Bed, $57500,1 Bath,"MLS® ML81878034
",592 ft,"250 King ST 268, SAN FRANCISCO, CA 94107Sold"
756,4 Beds, $900000,2.5 Baths,"MLS® ML81894405
","1,726 ft","72 Argonaut AVE, SAN FRANCISCO, CA 94134Sold"
757,2 Beds, $925000,1 Bath,"MLS® ML81890280
","1,055 ft","200 Judson AVE, SAN FRANCISCO, CA 94112Sold"
758,01 Bed, $80000,1 Bath,"MLS® ML81885312
",907 ft,"250 King ST 260, SAN FRANCISCO, CA 94107Sold"
759,01 Bed, $91900,1 Bath,"MLS® ML81900493
",700 ft,"1998 Broadway 1502, SAN FRANCISCO, CA 94109Sold"
760,2 Beds, $780000,2 Baths,"MLS® ML81886098
","1,156 ft","50 Jerrold AVE 313, SAN FRANCISCO, CA 94124Sold"
761,01 Bed, $52500,1 Bath,"MLS® ML81899647
",611 ft,"555 Innes AVE 308, SAN FRANCISCO, CA 94124Sold"
762,2 Beds, $700000,2 Baths,"MLS® ML81888453
","1,015 ft","50 Jerrold AVE 214, SAN FRANCISCO, CA 94124Sold"
763,2 Beds, $990000,1 Bath,"MLS® ML81892406
","1,037 ft","60 Castillo ST, SAN FRANCISCO, CA 94134Sold"
764,2 Beds, $820000,2 Baths,"MLS® ML81890234
",984 ft,"1 Crescent WAY 1208, SAN FRANCISCO, CA 94134Sold"
765,01 Bed, $95000,1 Bath,"MLS® ML81892824
",720 ft,"1380 Greenwich ST 302, SAN FRANCISCO, CA 94109Sold"
766,3 Beds, $788000,2 Baths,"MLS® ML81892521
","1,254 ft","1601 Birchwood CT, SAN FRANCISCO, CA 94134Sold"
767,01 Bed, $72500,1 Bath,"MLS® ML81888262
",644 ft,"246 2nd ST 504, SAN FRANCISCO, CA 94105Sold"
768,000, $490,1 Bath,"MLS® ML81887009
",499 ft,"3638 Cabrillo ST, SAN FRANCISCO, CA 94121Sold"
769,2 Beds, $890000,2 Baths,"MLS® ML81888477
","1,072 ft","206 Coleman ST, SAN FRANCISCO, CA 94124Sold"
770,01 Bed, $86000,1 Bath,"MLS® ML81881673
",718 ft,"170 King ST 1005, SAN FRANCISCO, CA 94107Sold"
771,01 Bed, $78500,1 Bath,"MLS® ML81882629
",880 ft,"191 Boutwell ST, SAN FRANCISCO, CA 94124Sold"
772,"50,000", $16,4 Baths,"MLS® ML81879063
","2,750 ft","2375 27th AVE, SAN FRANCISCO, CA 94116Sold"
773,01 Bed, $80000,1 Bath,"MLS® ML81883953
",597 ft,"3241 Mission ST 3, SAN FRANCISCO, CA 94110Sold"
774,01 Bed, $65000,1 Bath,"MLS® ML81889554
",789 ft,"301 Mission ST 23D, SAN FRANCISCO, CA 94105Sold"
775,01 Bed, $51000,1 Bath,"MLS® ML81877807
",602 ft,"2225 23rd ST 115, SAN FRANCISCO, CA 94107Sold"
776,01 Bed, $70000,1 Bath,"MLS® ML81889559 
",600 ft,"1145 Pine ST 46, SAN FRANCISCO, CA 94109Sold"
777,01 Bed, $77500,1 Bath,"MLS® ML81886227
",575 ft,"2655 Bush ST 116, SAN FRANCISCO, CA 94115Sold"
778,000, $605,1 Bath,"MLS® ML81884112
",496 ft,"888 7th ST 133, SAN FRANCISCO, CA 94107Sold"
779,01 Bed, $73000,1 Bath,"MLS® ML81885603
",694 ft,"555 4th ST 312, SAN FRANCISCO, CA 94107Sold"
780,3 Beds, $848888,2 Baths,"MLS® ML81884864
","1,200 ft","1207 Ridge CT, SAN FRANCISCO, CA 94134Sold"
781,01 Bed, $84500,1 Bath,"MLS® ML81878406
",710 ft,"425 1st ST 805, SAN FRANCISCO, CA 94105Sold"
782,2 Beds, $985000,2 Baths,"MLS® ML81884384
",876 ft,"219 Brannan ST 1B, SAN FRANCISCO, CA 94107Sold"
783,01 Bed, $81800,1 Bath,"MLS® ML81883821
",670 ft,"300 Berry ST 414, SAN FRANCISCO, CA 94158Sold"
784,01 Bed, $81800,1 Bath,"MLS® ML81884225
",650 ft,"2001 McAllister ST 13, SAN FRANCISCO, CA 94118Sold"
785,4 Beds, $910000,3 Baths,"MLS® ML81882503
","1,726 ft","1285 Sunnydale Ave, SAN FRANCISCO, CA 94134Sold"
786,01 Bed, $72000,1 Bath,"MLS® ML81881807
",588 ft,"423 Waller ST 5, SAN FRANCISCO, CA 94117Sold"
787,2 Beds, $798888,2 Baths,"MLS® ML81878577
",984 ft,"101 Crescent WAY 2410, SAN FRANCISCO, CA 94134Sold"
788,2 Beds, $900000,1 Bath,"MLS® ML81873492
",950 ft,"601 Banks ST, SAN FRANCISCO, CA 94110Sold"
789,81 Bed, $62588,1 Bath,"MLS® ML81878740
",619 ft,"351 Buena Vista E 202, SAN FRANCISCO, CA 94117Sold"
790,5 Beds, $890000,2 Baths,"MLS® ML81885415
","2,331 ft","2936 21st ST 2938, SAN FRANCISCO, CA 94110Sold"
791,01 Bed, $60000,1 Bath,"MLS® ML81880432
",541 ft,"236 Shipley ST 403, SAN FRANCISCO, CA 94107Sold"
792,3 Beds, $810000,2 Baths,"MLS® ML81874530
",920 ft,"3301 Mission ST 202, SAN FRANCISCO, CA 94110Sold"
793,01 Bed, $64500,1 Bath,"MLS® ML81874720
",870 ft,"630 Mason ST 401, SAN FRANCISCO, CA 94108Sold"
794,2 Beds, $975000,1 Bath,"MLS® ML81873380
",712 ft,"264 Montana ST, SAN FRANCISCO, CA 94112Sold"
795,01 Bed, $70000,1 Bath,"MLS® ML81878818
",650 ft,"1515 15th ST 503, SAN FRANCISCO, CA 94103Sold"
796,01 Bed, $71500,1 Bath,"MLS® ML81866793
",572 ft,"201 Harrison ST 711, SAN FRANCISCO, CA 94105Sold"
797,2 Beds, $765000,2 Baths,"MLS® ML81871827
",864 ft,"2 Amazon AVE 201, SAN FRANCISCO, CA 94112Sold"
798,2 Beds, $760000,2 Baths,"MLS® ML81869102
",950 ft,"8200 Oceanview TER 222, SAN FRANCISCO, CA 94132Sold"
799,000, $480,1 Bath,"MLS® ML81874789
",432 ft,"201 Harrison ST 1029, SAN FRANCISCO, CA 94105Sold"
800,01 Bed, $63850,1 Bath,"MLS® ML81872479
",814 ft,"1 Crescent WAY 1414, SAN FRANCISCO, CA 94134Sold"
801,01 Bed, $55800,1 Bath,"MLS® ML81877778
",572 ft,"5871 Mission ST 4, SAN FRANCISCO, CA 94112Sold"
802,01 Bed, $94750,1 Bath,"MLS® ML81876786
",794 ft,"2 Fallon Place ST 14, SAN FRANCISCO, CA 94133Sold"
803,01 Bed, $89000,1 Bath,"MLS® ML81877110
",663 ft,"988 Fulton ST 141, SAN FRANCISCO, CA 94117Sold"
804,2 Beds, $815000,1 Bath,"MLS® ML81874757
",560 ft,"12 Wayne PL, SAN FRANCISCO, CA 94133Sold"
805,01 Bed, $64200,1.5 Baths,"MLS® ML81913643
","1,243 ft","3690 Finnian WAY, DUBLIN, CA 94568Sold"
806,2 Beds, $760000,2 Baths,"MLS® ML81914154
","1,103 ft","7451 Brigadoon WAY, DUBLIN, CA 94568Sold"
807,01 Bed, $55500,1 Bath,"MLS® ML81910368
",840 ft,"3275 Dublin BLVD 220, DUBLIN, CA 94568Sold"
808,2 Beds, $670000,2 Baths,"MLS® ML81908627
","1,066 ft","3385 Dublin BLVD 243, DUBLIN, CA 94568Sold"
809,3 Beds, $930000,2 Baths,"MLS® ML81898361
","1,280 ft","6653 Spruce LN, DUBLIN, CA 94568Sold"
810,2 Beds, $815000,2.5 Baths,"MLS® ML81905836
","1,346 ft","7430 Oxford CIR 72, DUBLIN, CA 94568Sold"
811,2 Beds, $950000,2.5 Baths,"MLS® ML81889889
","1,521 ft","7936 Regional CMN, DUBLIN, CA 94568Sold"
812,2 Beds, $820000,2.5 Baths,"MLS® ML81897520
","1,428 ft","4097 Clarinbridge CIR, DUBLIN, CA 94568Sold"
813,2 Beds, $751000,2 Baths,"MLS® ML81895687
","1,039 ft","6417 Dijon WAY, DUBLIN, CA 94568Sold"
814,2 Beds, $799000,2.5 Baths,"MLS® ML81887195
","1,386 ft","3360 Maguire WAY 128, DUBLIN, CA 94568Sold"
815,3 Beds, $920000,2.5 Baths,"MLS® ML81887390
","1,897 ft","3369 Monaghan ST, DUBLIN, CA 94568Sold"
816,3 Beds, $958000,2.5 Baths,"MLS® ML81889591
","1,200 ft","7642 Arbor Creek CIR, DUBLIN, CA 94568Sold"
817,2 Beds, $910000,2 Baths,"MLS® ML81883397
",975 ft,"7692 Arbor Creek CIR, DUBLIN, CA 94568Sold"
818,2 Beds, $800000,2 Baths,"MLS® ML81883114
","1,066 ft","3420 FINNIAN WAY 317, DUBLIN, CA 94568Sold"
819,2 Beds, $800000,2 Baths,"MLS® ML81879998
",963 ft,"11880 Pollardstown CT, DUBLIN, CA 94568Sold"
820,2 Beds, $950000,2.5 Baths,"MLS® ML81878486
","1,435 ft","4845 Perugia ST, DUBLIN, CA 94568Sold"
821,3 Beds, $978000,2.5 Baths,"MLS® ML81878849
","1,116 ft","7678 Arbor Creek CIR, DUBLIN, CA 94568Sold"
822,2 Beds, $962500,2 Baths,"MLS® ML81916378
",923 ft,"5924 Balboa DR, OAKLAND, CA 94611Sold"
823,3 Beds, $473888,1.5 Baths,"MLS® ML81916646
","1,226 ft","1107 107th AVE, OAKLAND, CA 94603Sold"
824,3 Beds, $412600,1.5 Baths,"MLS® ML81914017
","1,252 ft","9770 Hillgrade CT, OAKLAND, CA 94603Sold"
825,01 Bed, $56000,1 Bath,"MLS® ML81912958
",548 ft,"4218 Shafter AVE, OAKLAND, CA 94609Sold"
826,3 Beds, $573000,1 Bath,"MLS® ML81903892
",958 ft,"2698 78th AVE, OAKLAND, CA 94605Sold"
827,2 Beds, $525000,1 Bath,"MLS® ML81910986
","1,053 ft","2400 Highland AVE, OAKLAND, CA 94606Sold"
828,2 Beds, $625500,1 Bath,"MLS® ML81901139
","1,028 ft","2336 17th AVE, OAKLAND, CA 94606Sold"
829,3 Beds, $600000,2 Baths,"MLS® ML81914527
","1,478 ft","9235 B ST, OAKLAND, CA 94603Sold"
830,3 Beds, $600000,2 Baths,"MLS® ML81914465
","1,219 ft","1458 73rd AVE, OAKLAND, CA 94621Sold"
831,2 Beds, $675000,1 Bath,"MLS® ML81910317
",888 ft,"3124 Coolidge AVE, OAKLAND, CA 94602Sold"
832,2 Beds, $669000,2 Baths,"MLS® ML81913154
","1,159 ft","22 Moss AVE 212, OAKLAND, CA 94610Sold"
833,2 Beds, $716000,1 Bath,"MLS® ML81907312
",888 ft,"3050 75th AVE, OAKLAND, CA 94605Sold"
834,3 Beds, $900000,2 Baths,"MLS® ML81911442
","1,200 ft","7956 Greenly DR, OAKLAND, CA 94605Sold"
835,2 Beds, $500000,1 Bath,"MLS® ML81911518
",880 ft,"2849 62nd AVE, OAKLAND, CA 94605Sold"
836,2 Beds, $885000,2 Baths,"MLS® ML81909579
","1,053 ft","92 Camelford PL, OAKLAND, CA 94611Sold"
837,3 Beds, $620000,2.5 Baths,"MLS® ML81899586
","1,378 ft","1770 Boxcar, OAKLAND, CA 94607Sold"
838,01 Bed, $32900,1 Bath,"MLS® ML81901376
",668 ft,"7 Embarcadero West 115, OAKLAND, CA 94607Sold"
839,3 Beds, $570000,1.5 Baths,"MLS® ML81906116
","1,407 ft","1831 78th AVE, OAKLAND, CA 94621Sold"
840,2 Beds, $380000,1 Bath,"MLS® ML81897097
",809 ft,"423 Hunter AVE, OAKLAND, CA 94603Sold"
841,2 Beds, $560000,1 Bath,"MLS® ML81911658
",825 ft,"4512 Ellen ST, OAKLAND, CA 94601Sold"
842,2 Beds, $425000,1 Bath,"MLS® ML81902924
","1,040 ft","5427 Wentworth AVE, OAKLAND, CA 94601Sold"
843,3 Beds, $697000,1 Bath,"MLS® ML81899877
","1,364 ft","2251 87th AVE, OAKLAND, CA 94605Sold"
844,2 Beds, $610000,1 Bath,"MLS® ML81904342
",912 ft,"2814 Truman AVE, OAKLAND, CA 94605Sold"
845,2 Beds, $640000,2 Baths,"MLS® ML81893140
","1,079 ft","6132 Old Quarry LOOP, OAKLAND, CA 94605Sold"
846,3 Beds, $725000,3.5 Baths,"MLS® ML81900272
","1,584 ft","1778 Boxcar CIR, OAKLAND, CA 94607Sold"
