,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
121,2 Beds, $875000,2 Baths,"MLS® ML81916907
","1,259 ft","800 S Abel ST 306, MILPITAS, CA 95035Pending"
122,3 Beds, $888000,2 Baths,"MLS® ML81918683
","1,345 ft","836 N Abbott AVE, MILPITAS, CA 95035Pending"
123,01 Bed, $72900,1.5 Baths,"MLS® ML81919768
",910 ft,"1460 Cherry CIR, MILPITAS, CA 95035Active"
124,3 Beds, $968000,2.5 Baths,"MLS® ML81918076
","1,253 ft","1786 Snell PL, MILPITAS, CA 95035Pending"
125,2 Beds, $738000,2 Baths,"MLS® ML81914234
","1,058 ft","1101 S Main ST 207, MILPITAS, CA 95035Pending"
126,3 Beds, $998000,3 Baths,"MLS® ML81919346
","1,643 ft","679 Barcelona LOOP, MILPITAS, CA 95035Active"
127,2 Beds, $280000,2 Baths,"MLS® ML81911945
","1,253 ft","1515 N Milpitas BLVD 118, MILPITAS, CA 95035Under Contract"
128,2 Beds, $888888,2 Baths,"MLS® ML81918464
","1,164 ft","24 Crystal CT, MILPITAS, CA 95035Pending"
129,3 Beds, $379000,2 Baths,"MLS® ML81919062
","1,188 ft","1515 North Milpitas Blvd. 117, MILPITAS, CA 95035Active"
130,2 Beds, $998000,2 Baths,"MLS® ML81918478
","1,316 ft","1419 Nestwood WAY, MILPITAS, CA 95035Pending"
131,2 Beds, $849999,2 Baths,"MLS® ML81918913
","1,259 ft","600 S Abel ST 404, MILPITAS, CA 95035Active"
132,2 Beds, $799999,2.5 Baths,"MLS® ML81916759
","1,192 ft","84 Parc Place DR, MILPITAS, CA 95035Pending"
133,01 Bed, $40000,1 Bath,"MLS® ML81917935
",676 ft,"444 Dempsey RD 146, MILPITAS, CA 95035Under Contract"
134,2 Beds, $875000,2.5 Baths,"MLS® ML81915192
","1,165 ft","386 Montecito WAY, MILPITAS, CA 95035Pending"
135,3 Beds, $440000,2 Baths,"MLS® ML81916796
","1,520 ft","120 Dixon Landing RD 108, MILPITAS, CA 95035Pending"
